,overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7
0,1.0,0.3621041493462323,0.29540473131282596,0.34249111934094173,0.35979895699493614,0.29540473131282596,0.34249111934094173,0.0023051923512961985,0.1279192804776661,0.29540473131282596,0.34249111934094173,0.0023051923512961985,0.23187967651727004,0.1279192804776661,0.22834630791323407,0.34249111934094173,0.0023051923512961985,0.23187967651727004,0.06705842339959187,0.1229309953896153,0.22834630791323407,0.34249111934094173,0.0023051923512961985,0.22229990174589978,0.06705842339959187,0.014568059859421056
Avg_Price,51.558093492555365,13.777024107701942,134.70272035307664,19.788994814079224,13.852090116584392,134.70272035307664,19.788994814079224,2.060573770491803,13.980031019202363,134.70272035307664,19.788994814079224,2.060573770491803,13.781509941329857,13.980031019202363,134.55403144393875,19.788994814079224,2.060573770491803,13.781509941329857,135.209033530572,13.897450046111281,134.55403144393875,19.788994814079224,2.060573770491803,13.694135146621335,135.209033530572,15.879623865110247
Coupon_Status_Not Used,0.15293628599501172,0.15372573575453977,0.15357554048867852,0.15155025929603885,0.15376536078143052,0.15357554048867852,0.15155025929603885,0.14754098360655737,0.15967503692762186,0.15357554048867852,0.15155025929603885,0.14754098360655737,0.1505052151238592,0.15967503692762186,0.15531650806785272,0.15155025929603885,0.14754098360655737,0.1505052151238592,0.1476472245703015,0.1607746695358131,0.15531650806785272,0.15155025929603885,0.14754098360655737,0.15027624309392265,0.1476472245703015,0.14785992217898833
Coupon_Status_Used,0.3382964250623536,0.3389167188478397,0.3359984648842267,0.33962264150943394,0.33919756328116796,0.3359984648842267,0.33962264150943394,0.29508196721311475,0.33648449039881834,0.3359984648842267,0.33962264150943394,0.29508196721311475,0.3406942633637549,0.33648449039881834,0.3354571783202317,0.33962264150943394,0.29508196721311475,0.3406942633637549,0.33784164553395324,0.337688287734399,0.3354571783202317,0.33962264150943394,0.29508196721311475,0.34050148746281345,0.33784164553395324,0.3320363164721141
CustomerID,15346.496542211473,15343.030995616782,15365.821095049252,15333.492772812535,15343.81357000315,15365.821095049252,15333.492772812535,15220.88524590164,15358.399852289513,15365.821095049252,15333.492772812535,15220.88524590164,15335.766867666232,15358.399852289513,15343.67976830782,15333.492772812535,15220.88524590164,15335.766867666232,15441.216398985629,15364.548570550262,15343.67976830782,15333.492772812535,15220.88524590164,15339.550021249468,15441.216398985629,15233.90272373541
Delivery_Charges,9.729089826921623,12.331125547902317,7.169027760010234,9.186145867814188,12.336412666736688,7.169027760010234,9.186145867814188,11.505901639344263,12.496316100443131,7.169027760010234,9.186145867814188,11.505901639344263,12.248199967405476,12.496316100443131,7.113455523376086,9.186145867814188,11.505901639344263,12.248199967405476,7.358261482107636,12.622891177374731,7.113455523376086,9.186145867814188,11.505901639344263,12.397897152571186,7.358261482107636,8.980778210116732
Discount_pct,19.87793817549694,19.602379461490294,20.024945631316363,20.042480414873662,19.606133809473796,20.024945631316363,20.042480414873662,19.016393442622952,20.11373707533235,20.024945631316363,20.042480414873662,19.016393442622952,19.326108213820078,20.11373707533235,20.129085643359538,20.042480414873662,19.016393442622952,19.326108213820078,19.67032967032967,20.127574546572394,20.129085643359538,20.042480414873662,19.016393442622952,19.317467063323416,19.67032967032967,19.610894941634243
Gender_M,0.37633209885874086,0.37220830724274684,0.38461046437252144,0.3735518040383979,0.3720197458250184,0.38461046437252144,0.3735518040383979,0.4016393442622951,0.3703101920236337,0.38461046437252144,0.3735518040383979,0.4016393442622951,0.37296284224250326,0.3703101920236337,0.3882498965659909,0.3735518040383979,0.4016393442622951,0.37296284224250326,0.3722175260636799,0.3719643406086689,0.3882498965659909,0.3735518040383979,0.4016393442622951,0.37373565660858477,0.3722175260636799,0.3463035019455253
Location_Chicago,0.3472904542362633,0.3558756000834899,0.3455289753102213,0.33973298024936555,0.3555298813149879,0.3455289753102213,0.33973298024936555,0.4098360655737705,1.0,0.3455289753102213,0.33973298024936555,0.4098360655737705,0.0,1.0,0.4370707488622259,0.33973298024936555,0.4098360655737705,0.0,0.0338123415046492,1.0,0.4370707488622259,0.33973298024936555,0.4098360655737705,0.0,0.0338123415046492,0.3424124513618677
Location_New Jersey,0.08508427178595722,0.07994155708620329,0.08596648330561596,0.08976056493434845,0.08024367188320554,0.08596648330561596,0.08976056493434845,0.03278688524590164,0.0,0.08596648330561596,0.08976056493434845,0.03278688524590164,0.12451108213820078,0.0,0.10930906081919735,0.08976056493434845,0.03278688524590164,0.12451108213820078,0.006480698788391096,0.0,0.10930906081919735,0.08976056493434845,0.03278688524590164,0.12460688482787931,0.006480698788391096,0.08041504539559015
Location_New York,0.21111405033633135,0.20747234397829264,0.21075860304464628,0.21527088160653204,0.20759374015334522,0.21075860304464628,0.21527088160653204,0.1885245901639344,0.0,0.21075860304464628,0.21527088160653204,0.1885245901639344,0.32211538461538464,0.0,0.0,0.21527088160653204,0.1885245901639344,0.32211538461538464,0.9284305438151592,0.0,0.0,0.21527088160653204,0.1885245901639344,0.31976200594985127,0.9284305438151592,0.24773022049286642
